# Coined terms the company replaces with standard vocabulary (owner standards/docs.md, "Plain language").
# One term per line: a case-insensitive Perl regex, a tab, then the replacement to suggest.
# Only terms with no standard meaning in our codebases are listed; context-dependent words
# (fence, mint, seat, seam, ladder) are left to review.
\bresiduals?\b	legacy code, remaining work
\bhonesty\b	accurate status, fail-closed
\bdual[-_ ]?oracles?\b	differential test
\bdoorbells?\b	wake-up webhook
\bpolaris\b	target architecture
\bread-?backs?\b	post-deploy check
\bthe pin\b	the deployed version
\bcross(es|ed)? release\b	deploy to production
\bsettled path\b	no-op path
\b(hard|clean)[- ]cuts?\b	breaking change
\bgap[- ]fill\b	backfill
\bevidence packs?\b	verification record
\bproof[- ]shaped\b	test environment
\beffect writers?\b	handler that changes state
\bowning writes?\b	handler that changes state
\bdens(ed|ify)?\b	the specific thing: deployed version, promote, migrate, legacy BaaS runtime
